Story,Label,UniqueName,Section,Location,Shear Design Combo,Shear Force,Torsion for Av/s,VRebar (Av/s),TTrnCombo,Torsion for TTrnRebar,TTrnRebar (At/s),TLngCombo,Torsion for TLngRebar,TLngRebar (Al),Status
Story4,B14,78,ConcBm,End-J,DConS1,6.615,0,0,DConS1,0,0,DConS1,0,0,
Story4,B15,79,ConcBm,End-I,DConS1,7.224,0,0,DConS1,0,0,DConS1,0,0,
Story4,B15,79,ConcBm,Middle,DConS1,3.616,0,0,DConS1,0,0,DConS1,0,0,
Story4,B15,79,ConcBm,End-J,DConS1,6.006,0,0,DConS1,0,0,DConS1,0,0,
Story4,B16,80,ConcBm,End-I,DConS1,6.006,0,0,DConS1,0,0,DConS1,0,0,
Story4,B16,80,ConcBm,Middle,DConS1,3.616,0,0,DConS1,0,0,DConS1,0,0,
Story4,B16,80,ConcBm,End-J,DConS1,7.224,0,0,DConS1,0,0,DConS1,0,0,
Story4,B17,81,ConcBm,End-I,DConS1,6.615,0,0,DConS1,0,0,DConS1,0,0,
Story4,B17,81,ConcBm,Middle,DConS1,3.007,0,0,DConS1,0,0,DConS1,0,0,
Story4,B17,81,ConcBm,End-J,DConS1,6.615,0,0,DConS1,0,0,DConS1,0,0,
Story4,B18,82,ConcBm,End-I,DConS1,7.224,0,0,DConS1,0,0,DConS1,0,0,
Story4,B18,82,ConcBm,Middle,DConS1,3.616,0,0,DConS1,0,0,DConS1,0,0,
Story4,B18,82,ConcBm,End-J,DConS1,6.006,0,0,DConS1,0,0,DConS1,0,0,
Story4,B19,83,ConcBm,End-I,DConS1,6.006,0,0,DConS1,0,0,DConS1,0,0,
Story4,B19,83,ConcBm,Middle,DConS1,3.616,0,0,DConS1,0,0,DConS1,0,0,
Story4,B19,83,ConcBm,End-J,DConS1,7.224,0,0,DConS1,0,0,DConS1,0,0,
Story4,B20,84,ConcBm,End-I,DConS1,6.615,0,0,DConS1,0,0,DConS1,0,0,
Story4,B20,84,ConcBm,Middle,DConS1,3.007,0,0,DConS1,0,0,DConS1,0,0,
Story4,B20,84,ConcBm,End-J,DConS1,6.615,0,0,DConS1,0,0,DConS1,0,0,
Story4,B21,85,ConcBm,End-I,DConS1,7.224,0,0,DConS1,0,0,DConS1,0,0,
Story4,B21,85,ConcBm,Middle,DConS1,3.616,0,0,DConS1,0,0,DConS1,0,0,
